service_quantile,policy,total_cost,service_level,stockout_units,average_inventory
0.84,baseline,166096.55173188722,0.8826324697636466,9996.779387881394,4378.799797929223
0.84,model,92793.72946218117,0.7903671992443656,17855.473804361165,742.0775779422402
0.9,baseline,163043.32280234058,0.8978789994860766,8698.156218773434,4453.14923358496
0.9,model,89041.33000036175,0.8097248557449152,16206.685411926848,840.784317800498
0.95,baseline,165926.723784107,0.912916871569834,7417.305464039395,4731.163261387133
0.95,model,83537.67658149997,0.8447081385708074,13226.984297231487,1063.5326177977088
0.99,baseline,174450.85081518182,0.957026080335884,3660.303607391067,5548.945707833944
0.99,model,77323.91024636828,0.9279571997216095,6136.2455137119,1832.6016733166905
